word_id|doc_id
1|0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2|0,2,3,13,34
3|14
4|41
5|41
6|19
7|33
8|0,1,7,12
9|11,12
10|24
11|2
12|44
13|14
14|0
15|0
16|2
17|8
18|2
19|2
20|2
21|2
22|4
23|2
24|7,44
25|0
26|7
27|2
28|2
29|43
30|0
31|24
32|24
33|0
34|0
35|0
36|12
37|0
38|0
39|0
40|36
41|12
42|0
43|24
44|0,16
45|0
46|0
47|44
48|10
49|44
50|12
51|4
52|4
53|39
54|14
55|16
56|0
57|36
58|44
59|11,30,32,33,34
60|12
61|0
62|0
63|5
64|24
65|34
66|0
67|2
68|12
69|0
70|12
71|0
72|0
73|33
74|2
75|2
76|12
77|0,12
78|2
79|2
80|0
81|0
82|2
83|17
84|0
85|2
86|2
87|2
88|0
89|33
90|9
91|12
92|36
93|12
94|10
95|0,20
96|2
97|2
98|24
99|2
100|2
101|26
102|2
103|2
104|0,34
105|2
106|0
107|9
108|12
109|0,12
110|1
111|5
112|8
113|21
114|8
115|27
116|30,34
117|27
118|0,1,3,9,12,19,22,44
119|0,9,20
120|0,2,3,5,12,18,19,21,23,24,33,36,44
121|9
122|2,4,11,12,13,15,16,17,31,32,33,41,44
123|23
124|9
125|4,43
126|2,44
127|0,1,2,3,4,6,8,9,11,12,15,16,17,19,21,22,23,26,29,30,31,32,33,34,38,39,42,44
128|0
129|0,1,2,3,4,6,9,11,12,15,16,17,18,19,21,22,23,24,26,30,31,32,33,34,37,39,41,42,43,44
130|1,3,8,10,11,17,21,26,27,30,31,33
131|2,5,6,12,21,22,23,24,30,32,33,41,43,44
132|1
133|14
134|9
135|0
136|2,3,31
137|1,2,3,31,37,41,44
138|11,12,13
139|12,34
140|2,3,9,11,12,15,33,41,43,44
141|43
142|0,1,3,8,9,12,17,19,20
143|0,1,2,3,4,9,12,15,31,32,34,43
144|0,8,9,15,32
145|0
146|3,9,32,33
147|2
148|0
149|21
150|21
151|0
152|23
153|9
154|34
155|1
156|12
157|3,7,21,26,33
158|36
159|3
160|12
161|0
162|3,26
163|0,1,3,7,11,12,19,21,26,31,32,35,44
164|3,12,21,31
165|14
166|0
167|3
168|0
169|0,3,4,12,18,21,41,43
170|0,21,35,43
171|18
172|2
173|2,8,18,23,35
174|30,35
175|0,13,19
176|21
177|36
178|4,8
179|0,12
180|23
181|23
182|23
183|23
184|23
185|23
186|23
187|23
188|23
189|23
190|23
191|23
192|23
193|23
194|23
195|23
196|23
197|23
198|35
199|23
200|23
